block_start,block_end,average_distance
1,3,0.2108955078125
2,4,0.196140625
3,5,0.18428466796875
4,6,0.176320068359375
5,7,0.1900732421875
6,8,0.20519140625
7,9,0.2000244140625
8,10,0.19533740234375
9,11,0.1905107421875
10,12,0.173458251953125
11,13,0.148906005859375
12,14,0.144168212890625
13,15,0.1380098876953125
14,16,0.1273477783203125
15,17,0.1208270263671875
16,18,0.115549560546875
17,19,0.126752685546875
18,20,0.151926513671875
19,21,0.15743115234375
20,22,0.158255615234375
21,23,0.16785693359375
22,24,0.171112060546875
23,25,0.16635791015625
24,26,0.1557393798828125
25,27,0.16099365234375
26,28,0.41945166015625
