block_start,block_end,average_distance
1,4,0.24114306640625
2,5,0.232696044921875
3,6,0.220120361328125
4,7,0.20946630859375
5,8,0.2089677734375
6,9,0.200424560546875
7,10,0.18529345703125
8,11,0.16784716796875
9,12,0.15741455078125
10,13,0.148647216796875
11,14,0.14182568359375
12,15,0.1256046142578125
13,16,0.12107275390625
14,17,0.1187711181640625
15,18,0.1253865966796875
16,19,0.1335545654296875
17,20,0.1445740966796875
18,21,0.159709228515625
19,22,0.17252392578125
20,23,0.171598876953125
21,24,0.178292724609375
22,25,0.167615478515625
23,26,0.1610849609375
24,27,0.158645263671875
25,28,0.3905595703125
