block_start,block_end,average_distance
1,4,0.251506591796875
2,5,0.22955859375
3,6,0.206472412109375
4,7,0.226204833984375
5,8,0.23033984375
6,9,0.23736083984375
7,10,0.234947265625
8,11,0.2130302734375
9,12,0.206782958984375
10,13,0.19492236328125
11,14,0.1746123046875
12,15,0.165707275390625
13,16,0.1593994140625
14,17,0.1461351318359375
15,18,0.1445167236328125
16,19,0.143809814453125
17,20,0.16665283203125
18,21,0.184727783203125
19,22,0.19360595703125
20,23,0.19706396484375
21,24,0.206340087890625
22,25,0.205672119140625
23,26,0.19974755859375
24,27,0.200344970703125
25,28,0.4261787109375
