block_start,block_end,average_distance
1,5,0.216419189453125
2,6,0.193092041015625
3,7,0.199404052734375
4,8,0.21403466796875
5,9,0.222533447265625
6,10,0.219900390625
7,11,0.22005859375
8,12,0.22245263671875
9,13,0.226750732421875
10,14,0.226925048828125
11,15,0.22111572265625
12,16,0.21015185546875
13,17,0.195466796875
14,18,0.181289306640625
15,19,0.16710546875
16,20,0.15121044921875
17,21,0.1363712158203125
18,22,0.135387939453125
19,23,0.1304423828125
20,24,0.1341612548828125
21,25,0.13455517578125
22,26,0.1375068359375
23,27,0.148158935546875
24,28,0.162913818359375
25,29,0.176384033203125
26,30,0.184232421875
27,31,0.18999658203125
28,32,0.194024169921875
29,33,0.1970283203125
30,34,0.212578369140625
31,35,0.20519775390625
32,36,0.3910859375
