block_start,block_end,average_distance
1,3,0.215647705078125
2,4,0.20666357421875
3,5,0.19408740234375
4,6,0.181361328125
5,7,0.1851982421875
6,8,0.179755859375
7,9,0.16820751953125
8,10,0.153344482421875
9,11,0.138748046875
10,12,0.134442138671875
11,13,0.12639306640625
12,14,0.1173682861328125
13,15,0.1059312744140625
14,16,0.102302001953125
15,17,0.100905517578125
16,18,0.109171142578125
17,19,0.118156005859375
18,20,0.13202392578125
19,21,0.1433740234375
20,22,0.1443101806640625
21,23,0.14956640625
22,24,0.1391546630859375
23,25,0.131558349609375
24,26,0.1238970947265625
25,27,0.1254390869140625
26,28,0.382578125
