block_start,block_end,average_distance
1,4,0.25484423828125
2,5,0.219851318359375
3,6,0.225583984375
4,7,0.214186279296875
5,8,0.20537255859375
6,9,0.200943115234375
7,10,0.1784580078125
8,11,0.16426904296875
9,12,0.147255615234375
10,13,0.14247998046875
11,14,0.1367818603515625
12,15,0.151258544921875
13,16,0.16040380859375
14,17,0.1777998046875
15,18,0.1778974609375
16,19,0.170753662109375
17,20,0.165050537109375
18,21,0.175803466796875
19,22,0.186525634765625
20,23,0.187230712890625
21,24,0.39969482421875
