block_start,block_end,average_distance
1,4,0.186814208984375
2,5,0.1681572265625
3,6,0.169172607421875
4,7,0.180951416015625
5,8,0.196030517578125
6,9,0.19822314453125
7,10,0.194658203125
8,11,0.192155517578125
9,12,0.2010400390625
10,13,0.213240234375
11,14,0.205689208984375
12,15,0.198429931640625
13,16,0.185341552734375
14,17,0.171378173828125
15,18,0.1550615234375
16,19,0.14070263671875
17,20,0.12732177734375
18,21,0.1235931396484375
19,22,0.11647802734375
20,23,0.12022119140625
21,24,0.1171927490234375
22,25,0.122263916015625
23,26,0.127613525390625
24,27,0.1340638427734375
25,28,0.153127685546875
26,29,0.16190478515625
27,30,0.164891845703125
28,31,0.164716064453125
29,32,0.172406494140625
30,33,0.178802490234375
31,34,0.1795692138671875
32,35,0.17528515625
33,36,0.3791298828125
