block_start,block_end,average_distance
1,3,0.32084765625
2,4,0.3077421875
3,5,0.31018359375
4,6,0.29554248046875
5,7,0.293333984375
6,8,0.283953125
7,9,0.290390625
8,10,0.2770908203125
9,11,0.255048828125
10,12,0.23105615234375
11,13,0.21187939453125
12,14,0.20314111328125
13,15,0.227538818359375
14,16,0.3724541015625
