block_start,block_end,average_distance
1,3,0.16597607421875
2,4,0.127301513671875
3,5,0.1383485107421875
4,6,0.1444825439453125
5,7,0.152635009765625
6,8,0.1663466796875
7,9,0.167796875
8,10,0.157722900390625
9,11,0.163087158203125
10,12,0.1800771484375
11,13,0.186451904296875
12,14,0.17510595703125
13,15,0.165921142578125
14,16,0.15694482421875
15,17,0.1392708740234375
16,18,0.1222120361328125
17,19,0.11234619140625
18,20,0.1101219482421875
19,21,0.10073974609375
20,22,0.1033411865234375
21,23,0.0987159423828125
22,24,0.1009085693359375
23,25,0.1095341796875
24,26,0.1092327880859375
25,27,0.1193201904296875
26,28,0.13537109375
27,29,0.1404267578125
28,30,0.1315467529296875
29,31,0.1388931884765625
30,32,0.1511658935546875
31,33,0.1409036865234375
32,34,0.14314453125
33,35,0.1422412109375
34,36,0.3704814453125
