block_start,block_end,average_distance
1,2,0.166018798828125
2,3,0.164474853515625
3,4,0.147033203125
4,5,0.144370849609375
5,6,0.1387724609375
6,7,0.1421292724609375
7,8,0.136680908203125
8,9,0.125451904296875
9,10,0.11124365234375
10,11,0.1047239990234375
11,12,0.10587353515625
12,13,0.089980224609375
13,14,0.0925892333984375
14,15,0.0797230224609375
15,16,0.07748779296875
16,17,0.0767989501953125
17,18,0.0851104736328125
18,19,0.0954464111328125
19,20,0.1102838134765625
20,21,0.099508544921875
21,22,0.1158690185546875
22,23,0.1018602294921875
23,24,0.09571630859375
24,25,0.087099609375
25,26,0.0844208984375
26,27,0.0854146728515625
27,28,0.36837744140625
