block_start,block_end,average_distance
1,5,0.26056884765625
2,6,0.24918359375
3,7,0.240670166015625
4,8,0.22608984375
5,9,0.224201171875
6,10,0.212443115234375
7,11,0.1928544921875
8,12,0.18071728515625
9,13,0.167595458984375
10,14,0.16100146484375
11,15,0.144654296875
12,16,0.1362149658203125
13,17,0.13262109375
14,18,0.1392791748046875
15,19,0.146626220703125
16,20,0.15391748046875
17,21,0.1688515625
18,22,0.18426123046875
19,23,0.194762939453125
20,24,0.196885986328125
21,25,0.201238037109375
22,26,0.19279248046875
23,27,0.190218994140625
24,28,0.394044921875
