block_start,block_end,average_distance
1,5,0.274391845703125
2,6,0.243946044921875
3,7,0.246394287109375
4,8,0.257353515625
5,9,0.258024169921875
6,10,0.261987548828125
7,11,0.243724853515625
8,12,0.225515625
9,13,0.21985595703125
10,14,0.213946533203125
11,15,0.1900595703125
12,16,0.18165380859375
13,17,0.17305615234375
14,18,0.1650771484375
15,19,0.168159423828125
16,20,0.17863671875
17,21,0.1957353515625
18,22,0.21623046875
19,23,0.228504638671875
20,24,0.230141845703125
21,25,0.235484619140625
22,26,0.23339013671875
23,27,0.236580322265625
24,28,0.4329775390625
