block_start,block_end,average_distance
1,9,0.28045556640625
2,10,0.27919384765625
3,11,0.2817294921875
4,12,0.28911767578125
5,13,0.2885029296875
6,14,0.278428466796875
7,15,0.272638916015625
8,16,0.26562646484375
9,17,0.26019873046875
10,18,0.256229248046875
11,19,0.248199951171875
12,20,0.233671875
13,21,0.21732177734375
14,22,0.203559326171875
15,23,0.190172607421875
16,24,0.17980419921875
17,25,0.17521044921875
18,26,0.180376953125
19,27,0.183165283203125
20,28,0.201376708984375
21,29,0.20899951171875
22,30,0.218366943359375
23,31,0.23576220703125
24,32,0.247606201171875
25,33,0.258904541015625
26,34,0.276798095703125
27,35,0.274958251953125
28,36,0.43600048828125
