block_start,block_end,average_distance
1,2,0.191080322265625
2,3,0.1476510009765625
3,4,0.1566513671875
4,5,0.1632861328125
5,6,0.153789794921875
6,7,0.146420166015625
7,8,0.1358677978515625
8,9,0.129726806640625
9,10,0.1006800537109375
10,11,0.0948511962890625
11,12,0.098161376953125
12,13,0.0951839599609375
13,14,0.0900137939453125
14,15,0.109756103515625
15,16,0.1154962158203125
16,17,0.1202998046875
17,18,0.104254150390625
18,19,0.087484375
19,20,0.1044007568359375
20,21,0.111597900390625
21,22,0.100450927734375
22,23,0.0996878662109375
23,24,0.3665400390625
