block_start,block_end,average_distance
1,3,0.228486083984375
2,4,0.19094921875
3,5,0.203380126953125
4,6,0.200604736328125
5,7,0.187730224609375
6,8,0.18122802734375
7,9,0.16767041015625
8,10,0.149302734375
9,11,0.12334765625
10,12,0.1251812744140625
11,13,0.119584716796875
12,14,0.1203218994140625
13,15,0.1313707275390625
14,16,0.1460888671875
15,17,0.155278564453125
16,18,0.150641357421875
17,19,0.1323402099609375
18,20,0.1353431396484375
19,21,0.15296240234375
20,22,0.15159521484375
21,23,0.1448939208984375
22,24,0.39684033203125
